class_labels,query
"['bottom clothes (trousers, pants, etc.)']",training men's swimsuit
"['others', 'others', 'others', 'others', 'shoes']",cotton men's socks
"['others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others']",student supplies
"['bottom clothes (trousers, pants, etc.)', 'human face', 'human face', 'top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'bottom clothes (trousers, pants, etc.)', 'shoes', 'luggage, leather goods']",woven cotton sleeve pajamas suit
['others'],steering books
"['bottom clothes (trousers, pants, etc.)', 'shoes']",cotton high waisted underwear
"['others', 'others', 'others', 'others']",picking journals
"['others', 'others', 'others', 'others']",embroidery custom pillow
"['makeup, perfume, beauty tools and essential oils', 'others']",tomato foam cleansing
"['toys', 'toys', 'others', 'toys']",anti-winding laundry ball
"['makeup, perfume, beauty tools and essential oils', 'others']",bright counter genuine facial cream
"['others', 'others']",calligraphy has been framed painting
"['others', 'others']",supervision books
"['shoes', 'others', 'others', 'shoes', 'others']",sweet ironing cloth paste
['toys'],picking books
"['others', 'top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)']",long-sleeved animation around
"['top clothes (coat, jacket, shirt, etc.)', 'human face', 'others', 'shoes', 'shoes', 'shoes']",personality avant-garde tie
['others'],large displacement resin carburetor
"['others', 'others', 'others']",couple cotton towel
"['others', 'others', 'others', 'others']",mechanical follow me books
"['others', 'others', 'others', 'others']",luzhou green tea
['others'],warm foot dry foot scrub
['others'],painting and calligraphy four treasures
"['others', 'others', 'others', 'others', 'others', 'others']",disposable independent chopsticks
"['top clothes (coat, jacket, shirt, etc.)']",travel feet bucket
"['others', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'others']",mushroom stamp
['others'],plastic connector
"['others', 'toys', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'toys', 'toys', 'others', 'others', 'others', 'toys', 'snacks, nuts, liquor and tea', 'shoes', 'others', 'others', 'others', 'others', 'others', 'others', 'toys', 'others']",patch cloth paste
"['others', 'others', 'others', 'others']",copper hinge
['furniture'],large porcelain aquarium fish
"['snacks, nuts, liquor and tea', 'others']",sulfur-free sheng wu and vegetables
['furniture'],electronic brother insurance components
['others'],7 no. resistant to play badminton
"['others', 'others']",security light meter
['others'],suitable for lamps
"['makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils']",firming entity cleansing
"['others', 'others', 'others', 'others']",original applicable cartridges
"['others', 'others']",silver storage box
"['furniture', 'furniture', 'others', 'furniture']",living room japanese-style decorative painting
"['toys', 'others']",wash baby pillow
"['others', 'others', 'others', 'others', 'human face']",putin books
"['others', 'others', 'others', 'others']",development whole brain cd
"['accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'others']",for men and women backgammon accessories
['others'],double-sided economic go
"['others', 'others']",three-dimensional gold flash animation around
['others'],sale books
"['human face', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'skirt & dress']",waist sweet dress
['others'],oil universal supplies
['others'],sale books
['others'],sale books
"['others', 'others']",sale books
"['others', 'others']",sale books
"['human face', 'others']",sale books
"['others', 'others', 'others', 'others']",sale books
"['toys', 'others']",sale books
['others'],sale books
"['others', 'others', 'others']",fashion glass vase
['others'],steel wind seal
"['others', 'others', 'toys', 'toys']",sale books
"['others', 'others', 'others', 'others']",mousse postcard books
"['others', 'others', 'others']",green glaze combination of tea
['others'],picking smart books
"['others', 'others']",cable all-copper sheathed cable
['others'],event double-sided books
['others'],fashion appliqués books
['others'],waterproof camera
['others'],picking books
"['shoes', 'others', 'shoes']",original heroic lamps
"['makeup, perfume, beauty tools and essential oils']",tea tree acne facial cream
['others'],shoe mechanical books
"['others', 'others']",compatible ink cartridges
"['others', 'others', 'others']",european leather plate
"['others', 'others']",with a single step regeneration books
"['others', 'others', 'others', 'others', 'others', 'others']",modified peilin accessories
"['bottom clothes (trousers, pants, etc.)', 'others', 'others', 'bottom clothes (trousers, pants, etc.)', 'others']",labor thick gloves
['toys'],climbing accessories
"['shoes', 'shoes']",sprain protective protective gear
"['others', 'others', 'others', 'others', 'others', 'others']",purchase shine foundation
"['others', 'others']",spacing clamshell connector
"['others', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'human face']",plant hair dye
['digital supplies'],double ball wind radiator
"['others', 'others']",sponge children's mattress
"['accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'others', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'human face', 'top clothes (coat, jacket, shirt, etc.)', 'skirt & dress', 'luggage, leather goods', 'shoes', 'top clothes (coat, jacket, shirt, etc.)']",spring and summer and long sections vest
['others'],authentic pollution-free green tea
['others'],medium single string
['others'],sale books
['furniture'],bathroom stainless steel shelf
"['makeup, perfume, beauty tools and essential oils']",appease licorice lotion
"['others', 'others', 'others']",itching boxed powder
"['others', 'others', 'furniture', 'others', 'furniture', 'others', 'others']",outdoor cutaway cabinet
['others'],on red ribbon
['others'],double-headed gb cable
"['toys', 'others', 'others', 'toys', 'toys', 'toys', 'luggage, leather goods', 'toys', 'luggage, leather goods', 'others']",high-quality sensor
"['others', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)']",passepartout girls anklets
"['others', 'others', 'others']",tendon home gloves
"['toys', 'toys']",magnetic genuine flight chess
"['others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others']",series resistance
"['others', 'others', 'others']",moissanite counter genuine jewelry
"['others', 'others', 'others']",v-hard turning
"['others', 'others']",sale books
"['toys', 'toys', 'toys']",sale books
"['others', 'others', 'others', 'others', 'others']",sale books
['others'],transformer
['toys'],three-phase ac relay
"['others', 'toys']",dasha princess brake pads
['furniture'],factory wood coffee table
"['shoes', 'top clothes (coat, jacket, shirt, etc.)', 'human face', 'others']",sale books
['others'],kunlun seal
['others'],sale books
"['others', 'others', 'others']",sale books
"['top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'human face', 'bottom clothes (trousers, pants, etc.)', 'human face', 'bottom clothes (trousers, pants, etc.)']",ice silk silk pajamas suit
"['others', 'others', 'others', 'others', 'others']",pepsi ad model toys
"['top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)']",v-neck merino sweater
['others'],stainless steel gas pot
"['top clothes (coat, jacket, shirt, etc.)']",sexy lace underwear
"['others', 'others']",sale books
"['others', 'others']",pet food
"['toys', 'toys']",korea eagle lock
"['others', 'digital supplies']",office electronic safe
['others'],integrated circuit
"['others', 'others']",hand student with pencil sharpener pencil
['furniture'],bedroom french bedside cabinet
"['others', 'others']",durable telescopic pipe
['others'],warehouse home shelf
['others'],proximity normally open switch
"['top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)']",men's short-sleeved volleyball clothes
"['makeup, perfume, beauty tools and essential oils']",nobility lotion
"['others', 'others', 'others', 'others', 'others', 'others']",baby soft towel
"['others', 'digital supplies', 'others']",to work fingerprint attendance access control
"['shoes', 'others']",hand-painted for men and women models canvas shoes
"['top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)']",outdoor korean version of jacket suit
"['toys', 'luggage, leather goods', 'toys', 'toys', 'toys', 'luggage, leather goods', 'luggage, leather goods']",factory for men and women back bag
['others'],tribal natural necklaces
['others'],crown natural necklaces
"['others', 'others', 'others', 'others', 'toys', 'others', 'others', 'toys', 'toys']",painting and calligraphy painting
"['top clothes (coat, jacket, shirt, etc.)', 'human face', 'bottom clothes (trousers, pants, etc.)']",silk thin section pajamas suit
"['shoes', 'bottom clothes (trousers, pants, etc.)', 'shoes']",harem for men and women casual pants
"['shoes', 'bottom clothes (trousers, pants, etc.)', 'bottom clothes (trousers, pants, etc.)', 'bottom clothes (trousers, pants, etc.)', 'bottom clothes (trousers, pants, etc.)', 'bottom clothes (trousers, pants, etc.)', 'shoes']",cloth fashion casual pants
"['human face', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'others']",domestic revitalizes hair dye
['others'],laboratory dust glasses
"['others', 'others', 'makeup, perfume, beauty tools and essential oils', 'others']",can be to replace the hotel mop
"['others', 'others', 'others', 'others', 'others']",cotton embroidered bedding suit
['others'],tactical military books
"['shoes', 'others']",rechargeable improved version of trimmer
"['others', 'others', 'others', 'others', 'others']",wood hotel pumping paper
"['others', 'others', 'others', 'others', 'others']",97 years stamp
"['others', 'others', 'others']",circuit breaker
['others'],waterproof bathroom stickers
"['makeup, perfume, beauty tools and essential oils', 'others']",with a silver-plated cable
['others'],price custom label
['others'],water thermos
"['toys', 'others', 'others']",assembled model toys
"['others', 'shoes']",for men and women electronic protective shoes
"['others', 'others', 'others']",a product four treasures
"['human face', 'skirt & dress', 'top clothes (coat, jacket, shirt, etc.)', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'human face', 'skirt & dress', 'shoes', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'shoes']",halter sexy dress evening
"['accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'human face', 'top clothes (coat, jacket, shirt, etc.)', 'bottom clothes (trousers, pants, etc.)', 'bottom clothes (trousers, pants, etc.)', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'bottom clothes (trousers, pants, etc.)', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)']",fashion jazz costumes
"['toys', 'others']",integrated circuit
['others'],direct supply original toner cartridges
['others'],circumference special belts
"['others', 'others', 'others', 'others', 'others', 'others']",fresh office calendar
"['others', 'others', 'others']",appliqués hand pots
"['others', 'others', 'others']",size bearing
"['others', 'top clothes (coat, jacket, shirt, etc.)']",nylon labor protective gear
['others'],share books
['others'],high school books
"['bottle drink', 'others', 'makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils', 'others', 'makeup, perfume, beauty tools and essential oils']",counter genuine tender muscle bb cream
"['accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'top clothes (coat, jacket, shirt, etc.)']",body long section of raincoat
"['others', 'others']",on the first day stamp album
"['human face', 'human face', 'top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'human face', 'others']",sale books
"['others', 'others', 'others', 'others', 'others', 'others', 'others', 'others']",sports mesh gloves
"['shoes', 'others', 'toys']",sale books
['others'],fender
['others'],straight shank streams fishing rod fishing
"['digital supplies', 'others']",electric doors and windows controller
['others'],thick big mouth spray bottle
"['others', 'others']",desktop fashion file cabinet
"['top clothes (coat, jacket, shirt, etc.)']",sale books
"['others', 'others', 'others', 'others', 'others']",creative leather keychain
['others'],city books
"['others', 'shoes', 'others']",selected set cd
['shoes'],british dress low-top shoes
"['human face', 'others', 'bottom clothes (trousers, pants, etc.)', 'others', 'top clothes (coat, jacket, shirt, etc.)']",warm self-heating protective gear
['others'],fiction books
"['others', 'furniture']",special basket
"['top clothes (coat, jacket, shirt, etc.)']",denim baby pants
"['others', 'top clothes (coat, jacket, shirt, etc.)', 'others', 'human face', 'bottom clothes (trousers, pants, etc.)']",modal stretch warm suit
"['furniture', 'others', 'furniture']",plant new chinese flower
"['others', 'others']",compatible ink cartridges
"['others', 'makeup, perfume, beauty tools and essential oils', 'snacks, nuts, liquor and tea']",haze counter genuine cleansing
"['others', 'others', 'others', 'others', 'others', 'shoes', 'shoes', 'shoes']",newborn socks
"['others', 'toys', 'toys', 'toys', 'others', 'toys', 'others', 'others', 'others', 'toys', 'others', 'others']",aperture adjustable potentiometer
['furniture'],back office pillow
['others'],classic puzzle books
['others'],alternative msg
"['others', 'others', 'others', 'others']",cartoon linen cross-stitch
"['others', 'others', 'others', 'others']",creative colorful lamps
"['others', 'others']",range stamp
"['others', 'others', 'others']",custom linear bearing
"['luggage, leather goods', 'others', 'others', 'others']",imported bow back bag
['others'],adjustable height divider
"['others', 'others', 'others', 'toys', 'others']",diesel gas detector
"['others', 'others', 'others']",counter genuine fragrance lotion
"['others', 'others']",sale books
"['human face', 'others', 'others', 'others', 'others']",printing self fittings embroidery
"['luggage, leather goods', 'others', 'others']",teacher special microphone
"['top clothes (coat, jacket, shirt, etc.)', 'toys', 'top clothes (coat, jacket, shirt, etc.)', 'others', 'others', 'others']",sale books
"['toys', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'toys', 'bottom clothes (trousers, pants, etc.)', 'others']",sale books
"['others', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'human face', 'human face', 'human face', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'human face', 'human face', 'top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'bottom clothes (trousers, pants, etc.)', 'others']",sale books
"['others', 'others', 'others']",sale books
['others'],twelve five university books
['others'],professional supply of basketball
['others'],sale books
['others'],sale books
"['makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils']",men's hair hair style
"['top clothes (coat, jacket, shirt, etc.)', 'human face', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'bottom clothes (trousers, pants, etc.)', 'luggage, leather goods', 'others', 'top clothes (coat, jacket, shirt, etc.)', 'human face']",middle-aged lapel sports suit
"['toys', 'top clothes (coat, jacket, shirt, etc.)', 'toys', 'human face', 'toys']",elephant children's teaching equipment
"['top clothes (coat, jacket, shirt, etc.)', 'others', 'others']",waterproof fist body painted
['others'],projector lamps
"['human face', 'skirt & dress', 'skirt & dress', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)']",girls dress
"['others', 'others', 'others']",belts
"['luggage, leather goods', 'others']",x-type shrink banner
['others'],universal green card books
"['luggage, leather goods']",square buffalo horn scraping plates
"['others', 'others', 'others', 'others', 'others', 'others', 'others', 'others']",children's kindergarten chess
"['human face', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'top clothes (coat, jacket, shirt, etc.)']",sale books
